,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,emotion0,cum_emotions,cum0_emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,4,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00003.png,17,P3,99.9973983764648,2,21,33,True,False,False,Male,True,False,True,False,0.572538256645203,0.599531948566437,97.5856170654297,0.161100208759308,0.19200615584850303,0.26453244686126703,0.10683776438236199,0.517827153205872,97.9331821203232,98.48057079315187,97.9331821203232,98.48057079315187,0.2833333333333333,0.17,happy,97.5856170654297
1,6,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00004.png,37,P3,99.9973983764648,1,21,33,False,False,False,Male,True,False,True,False,0.561842441558838,37.995777130127,59.0759048461914,0.21442374587059,0.27139341831207303,0.247683346271515,0.934054791927338,0.698924541473389,60.451694756746285,59.16448321938514,158.38487687706947,157.645054012537,0.6166666666666667,0.37,happy,59.0759048461914
2,9,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00005.png,57,P3,99.9973983764648,1,22,34,False,False,False,Male,True,False,True,False,2.01830625534058,89.65967559814449,0.24448487162590002,0.22788885235786396,0.738702237606049,0.7285121083259579,6.24371480941772,0.138715595006943,5.847934514284126,-4.080287069082253,164.2328113913536,153.56476694345474,0.95,0.57,calm,89.65967559814449
3,12,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00006.png,77,P3,99.9973983764648,1,22,34,False,False,False,Male,True,False,True,False,2.20609211921692,94.17034912109379,0.150798454880714,0.23498319089412698,0.501952528953552,0.0511763617396355,2.5830242633819602,0.101631820201874,0.947508119046689,-0.8102612271904959,165.1803195104003,152.75450571626425,1.2833333333333334,1.17,calm,94.17034912109379
4,15,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00007.png,97,P3,99.9946975708008,1,26,42,False,False,False,Male,True,False,True,True,4.470227241516111,0.6101030707359311,3.39032793045044,7.090087413787839,1.86888813972473,80.385627746582,1.3817632198333702,0.802973628044128,76.26926600933072,78.70841777324674,241.44958551973102,231.46292348951098,1.6166666666666667,1.37,fear,80.385627746582
5,18,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00008.png,117,P3,99.99639892578121,1,12,22,False,False,False,Male,False,False,False,False,1.0573314428329499,21.7429542541504,0.4975385367870329,0.0248681139200926,0.0632487162947655,0.249295100569725,76.20635986328121,0.158413469791412,76.0926561299711,-74.33189814351495,317.54224164970213,157.13102534599602,1.95,1.5699999999999998,sad,76.20635986328121
6,21,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00009.png,137,P3,99.9973983764648,1,23,35,False,False,False,Male,True,False,True,False,0.27860811352729803,98.88113403320308,0.11905515193939199,0.0489185079932213,0.256322264671326,0.0297653786838055,0.26261717081069896,0.12357959896326101,0.46381294354796415,-0.016849700361489722,318.0060545932501,157.11417564563453,2.283333333333333,2.17,calm,98.88113403320308
7,25,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00010.png,157,P3,99.9946975708008,2,31,47,False,False,False,Male,True,False,True,True,14.4682836532593,27.2377014160156,11.1683530807495,4.351234436035161,3.68899655342102,2.40330934524536,0.891302347183228,35.7908172607422,35.12326049804685,54.89923000335695,353.1293150912969,212.01340564899147,2.6166666666666667,2.37,surprised,35.7908172607422
8,27,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00011.png,177,P3,99.9954986572266,1,22,34,False,False,False,Male,True,False,True,True,2.0137519836425803,4.28069067001343,2.8920481204986603,3.5587477684021,1.8432929515838603,27.201181411743196,0.200050354003906,58.010227203369105,84.57430028915405,84.51511764526367,437.70361538045097,296.52852329425514,2.95,2.57,surprised,58.010227203369105
9,32,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00013.png,217,P3,99.9973983764648,1,25,39,False,False,False,Male,True,False,True,False,0.612469553947449,98.01990509033199,0.108529955148697,0.19965435564518,0.35433754324913,0.077583983540535,0.45992249250412004,0.16760472953319502,0.3558547943830481,-0.04772616922855408,438.059470174834,296.4807971250266,3.6166666666666667,3.37,calm,98.01990509033199
